Symbol,Meaning
extracted_images\60x60 MATT_symbol_1.png,Anti Slip Surface
extracted_images\60x60 MATT_symbol_2.png,Easy Installation
extracted_images\60x60 MATT_symbol_3.png,Water Resistance
extracted_images\60x60 MATT_symbol_4.png,High Durability
extracted_images\60x60 MATT_symbol_5.png,Wall Tiles / Floor Tiles
extracted_images\60x60 MATT_symbol_6.png,Random Design
extracted_images\60x60 MATT_symbol_7.png,Fire Resistance
extracted_images\60x60 MATT_symbol_8.png,Easy Maintenance
extracted_images\60x60 MATT_symbol_9.png,Residential / Commercial Area
extracted_images\60x60 pgvt_symbol_1.png,Anti Slip Surface
extracted_images\60x60 pgvt_symbol_2.png,Easy Installation
extracted_images\60x60 pgvt_symbol_3.png,Water Resistance
extracted_images\60x60 pgvt_symbol_4.png,High Durability
extracted_images\60x60 pgvt_symbol_5.png,Wall Tiles / Floor Tiles
extracted_images\60x60 pgvt_symbol_6.png,Random Design
extracted_images\60x60 pgvt_symbol_7.png,Fire Resistance
extracted_images\60x60 pgvt_symbol_8.png,Easy Maintenance
extracted_images\60x60 pgvt_symbol_9.png,Residential / Commercial Area
