Design Name,Type,Tile Design Image Path,Design Preview Image Path,Size,Tile Class,Characteristics
ARTIC BEIGE,Glazed Vitrified Tiles,extracted_images\60x60 MATT\ARTIC BEIGE_tile_design.png,extracted_images\60x60 MATT\ARTIC BEIGE_design_preview.png,60x60em,Matt Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
BLAZE BEIGE,Glazed Vitrified Tiles,extracted_images\60x60 MATT\BLAZE BEIGE_tile_design.png,extracted_images\60x60 MATT\BLAZE BEIGE_design_preview.png,60x60em,Matt Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
BLAZE BIANCO,Glazed Vitrified Tiles,extracted_images\60x60 MATT\BLAZE BIANCO_tile_design.png,extracted_images\60x60 MATT\BLAZE BIANCO_design_preview.png,60x60em,Matt Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
BLAZE GREY,Glazed Vitrified Tiles,extracted_images\60x60 MATT\BLAZE GREY_tile_design.png,extracted_images\60x60 MATT\BLAZE GREY_design_preview.png,60x60em,Matt Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
BRUNEI GREY,Glazed Vitrified Tiles,extracted_images\60x60 MATT\BRUNEI GREY_tile_design.png,extracted_images\60x60 MATT\BRUNEI GREY_design_preview.png,60x60em,Matt Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
BRUNEI IVORY,Glazed Vitrified Tiles,extracted_images\60x60 MATT\BRUNEI IVORY_tile_design.png,extracted_images\60x60 MATT\BRUNEI IVORY_design_preview.png,60x60em,Matt Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
DELAWARE BLUE,Glazed Vitrified Tiles,extracted_images\60x60 MATT\DELAWARE BLUE_tile_design.png,extracted_images\60x60 MATT\DELAWARE BLUE_design_preview.png,60x60em,Matt Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
DELAWARE BROWN,Glazed Vitrified Tiles,extracted_images\60x60 MATT\DELAWARE BROWN_tile_design.png,extracted_images\60x60 MATT\DELAWARE BROWN_design_preview.png,60x60em,Matt Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
EMOTION BIANCO,Glazed Vitrified Tiles,extracted_images\60x60 MATT\EMOTION BIANCO_tile_design.png,extracted_images\60x60 MATT\EMOTION BIANCO_design_preview.png,60x60em,Matt Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
EMOTION CREMA,Glazed Vitrified Tiles,extracted_images\60x60 MATT\EMOTION CREMA_tile_design.png,extracted_images\60x60 MATT\EMOTION CREMA_design_preview.png,60x60em,Matt Finish,"Wall Tiles / Floor Tiles, Random Design, Fire Resistance, Easy Maintenance, Residential / Commercial Area"
